,날짜,feat_a,feat_b,feat_c,feat_d,feat_e,feat_f,매출
562,2020. 5. 17,22463001,111585,4607,172,4587,5001154,14243985
563,2020. 5. 16,22753719,111443,4519,174,4244,5023672,14394103
564,2020. 5. 15,33282800,130255,5091,182,5360,4464485,19285780
565,2020. 5. 14,34315909,128067,3348,187,5150,4673526,19269446
566,2020. 5. 13,34236114,126010,5721,192,5275,5265271,18983904
567,2020. 5. 12,33656722,124724,3474,197,5076,5973007,18596356
568,2020. 5. 11,34625172,126049,2536,195,5953,5782624,18852069
569,2020. 5. 10,23262137,112631,2535,184,4914,5307569,15454697
570,2020. 5. 9,23429599,114878,4854,183,5145,5516687,15449991
571,2020. 5. 8,31982132,121615,8700,194,5176,5315557,18319609
572,2020. 5. 7,32516851,124609,5083,191,5217,4915275,18863820
573,2020. 5. 6,33051163,123414,3127,193,5546,5409177,18431461
574,2020. 5. 5,23976197,119465,401,176,5636,5241886,15733966
575,2020. 5. 4,30107566,120098,5355,183,5512,5254752,16678152
576,2020. 5. 3,22385373,112955,8227,172,5032,4932914,14478824
577,2020. 5. 2,22298932,113217,3342,170,5127,4576547,14717262
578,2020. 5. 1,24472383,117293,6342,178,5295,5107452,15722849
579,2020. 4. 30,23679680,109828,1115,208,4793,7987576,14845685
580,2020. 4. 29,32604045,115206,5237,221,4870,8269516,17223215
581,2020. 4. 28,33387158,117242,9219,219,4822,8014374,17658237
582,2020. 4. 27,33635162,119269,8419,206,5131,7063636,17534597
583,2020. 4. 26,22739614,110324,9504,206,4524,7889292,14789546
584,2020. 4. 25,23218373,110500,6878,201,4909,7252815,15003980
585,2020. 4. 24,32473599,120256,5350,213,5050,7878317,17733807
586,2020. 4. 23,33637542,127563,870,193,5329,6506958,18107398
587,2020. 4. 22,32830480,123402,6472,201,5524,7100261,17648596
588,2020. 4. 21,33272502,122315,8186,189,5176,5705768,17396514
589,2020. 4. 20,33380891,120764,3896,192,4908,5224761,17996699
590,2020. 4. 19,23761297,116847,9183,182,4914,6097364,15199699
591,2020. 4. 18,22327463,106525,8686,177,4747,3540401,15362799
592,2020. 4. 17,32764997,123272,9330,183,5503,4008855,18497406
593,2020. 4. 16,35414373,123223,7059,182,5010,3747920,18656492
594,2020. 4. 15,23749364,117309,9589,174,5164,3942097,16417032
595,2020. 4. 14,29362667,116469,4240,182,5188,3501675,17707603
596,2020. 4. 13,30328218,118520,6527,186,5283,4989248,17016896
597,2020. 4. 12,21178163,112352,7841,174,4721,4961792,14607320
598,2020. 4. 11,20949861,109303,2979,173,5072,4990125,13970335
599,2020. 4. 10,28695111,114974,386,189,4907,4725606,16970817
600,2020. 4. 9,29468070,116922,4612,183,5286,3658869,17784958
601,2020. 4. 8,29349921,118405,2407,175,5376,3314860,17433116
602,2020. 4. 7,29423400,118173,3228,177,5187,3175738,17740460
603,2020. 4. 6,28449789,118564,4091,161,5167,2846481,16278052
604,2020. 4. 5,18849206,107422,7062,159,4699,3353817,13711317
605,2020. 4. 4,18988644,104944,3945,165,4806,3922572,13386017
606,2020. 4. 3,26603711,112880,885,175,4659,3930987,15802773
607,2020. 4. 2,28153980,117482,2195,167,4967,3761912,15848914
608,2020. 4. 1,28527242,118864,8747,174,5211,3602628,17025611
609,2020. 3. 31,28086271,118280,9230,191,5276,5300949,17299718
610,2020. 3. 30,28444136,117385,889,199,4872,6950696,16462773
611,2020. 3. 29,20306112,111225,7492,188,4604,7186628,13702121
612,2020. 3. 28,20417408,110946,3486,189,4642,6845581,14152083
613,2020. 3. 27,27513860,121569,6102,196,4904,6717551,17161183
614,2020. 3. 26,29127578,125568,5238,195,5126,6770126,17659472
615,2020. 3. 25,26720753,116303,8279,197,4710,6717450,16224071
616,2020. 3. 24,28750289,127070,4813,191,4851,7403552,16855024
617,2020. 3. 23,28206112,131389,955,192,4814,8650393,16560596
618,2020. 3. 22,19943762,121234,9977,200,4590,9812060,14416388
619,2020. 3. 21,20038369,117032,9451,204,4613,10212505,13698240
620,2020. 3. 20,27666015,130158,6745,209,5006,10730688,16430064
621,2020. 3. 19,29453029,135776,3031,199,5662,9026644,17981834
622,2020. 3. 18,28543339,129526,792,195,5276,7429519,17867136
623,2020. 3. 17,28949283,128150,5748,184,5258,4648324,18896735
624,2020. 3. 16,27945145,125981,3193,183,5001,4713530,18381148
625,2020. 3. 15,19582208,120568,7665,170,4921,4551652,15968664
626,2020. 3. 14,19513771,117849,8948,171,4826,4358468,15797515
627,2020. 3. 13,26955326,126280,7712,181,5179,4254705,18662567
628,2020. 3. 12,27397335,127118,6626,176,5413,3607081,18817806
629,2020. 3. 11,26918956,122870,9706,174,5089,3004832,18333617
630,2020. 3. 10,27715939,129893,335,168,5199,3437526,18391407
631,2020. 3. 9,27932380,127843,4998,177,4833,3164703,19443185
